Date,Bloomberg Commodities,Dollar Index,EM Bond USD,EU Global Aggregate,EU HY,EU Stoxx 600,Japan Nikkei 225,MSCI EM USD,US Global Aggregate,US HY,US S&P 500
2010-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,-0.0013287541832253114,0.00046655500739101186,0.004214524147788445,0.0010619885313192245,0.007361168972453314,-0.00021521318861073002,0.002537971638894687,0.010706104564075503,0.004408713681080645,0.0022179760575995466,0.00311894601163476
2010-01-06,0.020527355313430418,6.082662719131271e-05,0.0004599268864484696,-0.0006788172746259313,0.006578324401661062,0.0014350633636630583,0.004645359895168566,0.006396441388294427,-0.0009036918967592067,0.007290515622886629,0.0008495214915611449
2010-01-07,-0.015050621200517367,0.005291595292870044,-0.0003000922067107892,0.0018031744081723478,0.0064024432315781254,0.0003343683071415082,-0.004639872702064118,-0.007172320041541669,-0.0005168624539880762,0.003487730829586866,0.004045948315070547
2010-01-08,-0.003042304859675382,-0.004809970857480028,0.00048220818829780576,0.0007867682117772556,0.004788554485172902,0.004297583748045897,0.010921311862671645,0.001963224438240818,0.0008985130414425058,0.0036843329011915227,0.0028799279434679192
2010-01-11,-0.0028153704231851373,-0.00703535576724712,0.003740894707618736,0.0016316533827092083,0.003160040295188571,-0.0012837580238782564,0.0,0.011520608665358534,0.0004456245205803899,0.0012677345477929425,0.00174210152656884
2010-01-12,-0.01998011575199321,-0.001386654267809484,0.0014405376808686032,0.0011292278671293232,-8.415223980595687e-05,-0.009354915558741572,0.0074843814175789,-0.006695949304381221,0.003976553642938363,0.0009280786286103293,-0.009379768414274903
2010-01-13,0.005917888660406101,-0.00041441680442411144,-0.0027308611702002716,-0.0005578351312539587,-0.002221991298863135,0.0022586924333842795,-0.013246427586548926,-0.008894124528381342,-0.0022440271346668705,-6.91673313086838e-05,0.00839260635557526
2010-01-14,-0.00384076472169137,-0.0007258137705625778,-0.001566584838434193,-0.00045869637777007366,-1.130433660645469e-05,0.007336194238659832,0.01608296579915347,0.001183230621055964,0.002629289983516303,-9.846173938887759e-05,0.0024429144095119426
2010-01-15,-0.00982708346478256,0.005656139461812204,0.0003157223606071735,0.0015181381007174366,-0.00020956577416320066,-0.009281957291847553,0.0068223967376850325,-0.002379599209910155,0.0021531913500536515,-0.0006780795991645494,-0.010795457802599162
2010-01-19,0.002887265339875933,0.0036169307747744295,0.0009500552788823668,-0.00030361345786211746,0.00046444673805101644,0.014870156354245934,-0.019778145589901097,0.0026381785759064247,-0.0011480390516953598,0.0008643897587314875,0.012499008927594257
2010-01-20,-0.015608243645643616,0.010756502854616379,-0.0002866571265356388,0.0005504670598155403,-0.001148406613612707,-0.015054679690707395,-0.002543206469815762,-0.01570776532816065,0.0017593538597302505,-0.0037162837404466353,-0.010493285016133447
2010-01-21,-0.00514291056488303,0.0004668632636148917,-0.0035874273073612795,0.0005462588948486058,-0.0020984051181598407,-0.013818793617131453,0.012189731946048221,-0.016271347877555575,0.002089568770480721,-0.0005147401665753781,-0.0189254120025818
2010-01-22,-0.0053488198202811255,-0.002166170306446724,-0.002375714629597514,-0.0004199263159972988,-0.0025703038933616584,-0.01125868155805021,-0.025566084978721704,-0.01759894235261461,-0.00023026843765028282,-0.0035537232419727838,-0.022142581340896195
2010-01-25,0.00158748812548537,0.00011496131114130392,0.0026922645897198283,0.001434375929459275,-0.000678553069196286,-0.006482143255290618,-0.007351506244525963,-0.004971208074124545,-0.0011388135338730176,-0.00507547578886236,0.004613644101536307
2010-01-26,-0.011123205492332144,0.002259903443386113,-0.001384072196796815,0.0009582234470397744,-0.0027143046789204206,0.004539816331248447,-0.017827090745105245,-0.02188329332137351,-0.00016653324470394804,-0.0013955857542151673,-0.004199487427214654
2010-01-27,-0.020038919312688974,0.003068765503147164,-0.002029371015312309,-0.0016663806617688293,0.0002096976949463869,-0.008198947914043853,-0.007069913596417177,-0.009908769874834022,-0.0004548396674627364,-0.002653485794435473,0.004912210445902732
2010-01-28,-0.006693031779411052,0.003958540787928122,-0.0023253726751101267,-0.0016970378636540495,0.0006245772444846143,-0.010906102930961503,0.015822057000923984,0.012270222609165327,-0.00014740982161609573,0.0002471682752929194,-0.011757465556811009
2010-01-29,-0.007699953970272566,0.006033814571161145,-0.0001414552388023793,0.0012665648685001862,-0.0017024886134409112,0.009591420567098385,-0.02076438680841941,-0.00670459166553139,0.0024486399175425166,0.0003003304382311889,-0.009827470674317662
2010-02-01,0.012477544209573699,-0.0013815312586276107,0.00022828962700427446,0.0015957049626962316,-0.0006700382149500417,0.006084181156199797,0.0006841165532507354,0.0006942862484768941,-0.001579415340753565,-0.0004573280567974347,0.014267573830768931
2010-02-02,0.017922507236883822,-0.003059642072169022,0.001379066053933009,-0.00042766499839430594,0.001579116829583782,0.009566769105518791,0.016273038478589852,0.006909258918597505,0.0011400023811602988,0.000282000255265924,0.012980263908838108
2010-02-03,-0.013708613508890855,0.003734725241245851,-0.0006291949639462002,-0.0011197577381785173,0.003081309584230807,-0.005179948025025638,0.00320522741771212,0.012634377342734204,-0.001855192335434408,0.00118026518411396,-0.005241004596398313
2010-02-04,-0.02162638988940968,0.006627760891934509,-0.005165219457558989,0.0013413117472724778,-0.0010802182181246511,-0.026873627325699423,-0.004631475782030714,-0.027104938441828486,0.003198143660955166,9.744847407944235e-05,-0.031125280562868674
