Date,Last Price
2010-01-04,0.0
2010-01-05,0.0022704208878723264
2010-01-06,0.004127267422903369
2010-01-07,0.0001794519026174779
2010-01-08,0.0014011824612965018
2010-01-11,0.002056173640024639
2010-01-12,-0.0017624671133853465
2010-01-13,-0.00040088023063411526
2010-01-14,0.0013567131703571267
2010-01-15,-0.000639091978117512
2010-01-19,-0.00028138029826307864
2010-01-20,-0.00235402487078451
2010-01-21,-0.0025904077968709194
2010-01-22,-0.0026399924571645084
2010-01-25,-0.0013664606949181923
2010-01-26,-0.0016006884681583067
2010-01-27,-0.0019221818056441853
2010-01-28,-0.0009845324766174501
2010-01-29,0.0002074742602244939
2010-02-01,0.0021520989446937033
2010-02-02,0.002147477360931349
2010-02-03,-0.0003098133374640488
2010-02-04,-0.0044075996659866945
2010-02-05,-0.0017120474531132635
2010-02-08,-0.0016283682537481248
2010-02-09,0.0009022686852035999
2010-02-10,4.3339198571468174e-05
2010-02-11,0.001698822958378976
2010-02-12,0.00013844423293218888
2010-02-16,0.0022580589344731727
2010-02-17,0.0018041036884857142
2010-02-18,9.478182946165425e-05
2010-02-19,0.0007064884937146854
2010-02-22,0.00010331556879505932
2010-02-23,-0.0017475744871342513
2010-02-24,2.5871436209579102e-05
2010-02-25,-0.0009572183751432872
2010-02-26,0.0013465688390159603
2010-03-01,0.00130165681085459
2010-03-02,0.0026860197835689714
2010-03-03,0.0014338579364465698
2010-03-04,-0.0007887787647037348
2010-03-05,0.0014844179022515114
2010-03-08,0.00020562557296699424
2010-03-09,-0.00018845135813472247
2010-03-10,0.0009167316375224832
2010-03-11,0.0007703764572954963
2010-03-12,-1.710629853912682e-05
2010-03-15,-0.0010520553569290936
2010-03-16,0.0017295853276364515
2010-03-17,0.0017693366269775357
2010-03-18,1.70648464163925e-05
2010-03-19,-0.0005460657667957225
2010-03-22,-0.0008024722976318621
2010-03-23,0.0014866204162538033
2010-03-24,-0.0007422068283029493
2010-03-25,0.00022197368758059
2010-03-26,0.0007084510528607701
2010-03-29,0.00218355510064816
2010-03-30,-0.0005021447538641199
2010-03-31,0.0014646150702077865
2010-04-01,0.0030354819784201847
2010-04-05,0.0021870708509230674
2010-04-06,0.0005328867235077084
2010-04-07,0.0009130335539833112
2010-04-08,-0.0004898855525994339
2010-04-09,0.0007267380447366634
2010-04-12,-5.0665833495111556e-05
2010-04-13,-0.0008698075445248143
2010-04-14,0.002104569197221018
2010-04-15,0.0023953509948297924
2010-04-16,-0.0035844404991290935
2010-04-19,-0.0014017784007904766
2010-04-20,0.0021817259312504333
2010-04-21,0.0008353513960492887
2010-04-22,-0.0013405051765419396
2010-04-23,0.002541092247558163
2010-04-26,0.0002105192246155685
2010-04-27,-0.0031066097542495896
2010-04-28,-0.00026180221265093007
2010-04-29,0.0013009064107654122
2010-04-30,0.0001856023217163827
2010-05-03,-0.0009447092066972029
2010-05-04,-0.003866838901412595
2010-05-05,-0.002635928295969703
2010-05-06,-0.003977089246562593
2010-05-07,-0.0047608484207292134
2010-05-10,0.00598381455318564
2010-05-11,-0.0007243536209160517
2010-05-12,0.0020040763766300262
2010-05-13,0.00014468577653703463
2010-05-14,-0.0035825823525907907
2010-05-17,-0.0025791685170635237
2010-05-18,0.00022262179981158425
2010-05-19,-0.006600123270784852
2010-05-20,-0.008143392649403336
2010-05-21,-0.0004344048653345256
2010-05-24,0.0003129074315513236
2010-05-25,-0.002667570338703129
2010-05-26,0.0019080145322751818
2010-05-27,0.002973964764604764
2010-05-28,0.0007022715449973571
2010-06-01,-0.0029024181041579222
2010-06-02,0.0017378308395461506
2010-06-03,0.00045972624603174417
2010-06-04,-0.001855400168199961
2010-06-07,-0.002006514657980407
2010-06-08,-0.0009312931919858158
2010-06-09,-0.00111510885379007
2010-06-10,0.0022414289327485903
2010-06-11,0.0004873124717184041
2010-06-14,-0.0005392617332916627
2010-06-15,0.0016012531546429898
2010-06-16,-0.0006950840182806672
2010-06-17,0.002721407828611966
2010-06-18,0.00038152384090461844
2010-06-21,-7.80092050862713e-05
2010-06-22,-0.0020370659315891437
2010-06-23,-0.000720942958645554
2010-06-24,-0.00094746357915243
2010-06-25,-2.610170966199643e-05
2010-06-28,-0.00040893745867121023
2010-06-29,-0.0031422727074900125
2010-06-30,-0.001667772693933256
2010-07-01,-0.0011020440292828226
2010-07-02,-0.0013484287302879538
2010-07-06,-1.7535707083515817e-05
2010-07-07,0.0011047689191676646
2010-07-08,-0.00042039990540998495
2010-07-09,0.0025672703694943344
2010-07-12,-0.0006030308856689315
2010-07-13,0.0031394016772623434
2010-07-14,0.0006973987028384698
2010-07-15,2.613422538155774e-05
2010-07-16,-0.0014983230976959305
2010-07-19,-0.0009509435279131395
2010-07-20,0.0013448137345650757
2010-07-21,0.0021017197474446636
2010-07-22,0.002628166636207796
2010-07-23,0.001249880653757085
2010-07-26,0.0012396515105543848
2010-07-27,-0.0010043463956086462
2010-07-28,0.000771350817285299
2010-07-29,0.0012470663629828849
2010-07-30,0.001089823984776972
2010-08-02,0.0009935977743409374
2010-08-03,-0.0004143074161027105
2010-08-04,0.000526733904393506
2010-08-05,0.0010097610232244758
2010-08-06,-0.00023278671563808917
2010-08-09,0.0007675126553352563
2010-08-10,-0.0025420515648697517
2010-08-11,-0.0019956286230161657
2010-08-12,0.0010647322587904462
2010-08-13,-3.458861169958194e-05
2010-08-16,0.0020321512266410213
2010-08-17,0.0008629914736442146
2010-08-18,0.0007674001517556928
2010-08-19,-0.0003704820574678136
2010-08-20,-0.001775525331402572
2010-08-23,-0.00012088139807975296
